      a      V3S    V8S    V11S   V3A    V4A    V11A
Si    5.43  -0.224  0.055  0.072  0.000  0.000  0.000
Ge    5.66  -0.238  0.004  0.068  0.000  0.000  0.000
Sn    6.49  -0.200  0.000  0.040  0.000  0.000  0.000
AlP   5.42  -0.210  0.040  0.080  0.130  0.080  0.030
AlAs  5.66  -0.220  0.043  0.060  0.013  0.055  0.020
AlSb  6.13  -0.210  0.040  0.050  0.060  0.040  0.020
GaP   5.44  -0.220  0.030  0.070  0.120  0.070  0.020
GaAs  5.65  -0.230  0.010  0.055  0.070  0.050  0.010
GaSb  6.10  -0.215  0.005  0.050  0.045  0.015  0.000
InP   5.86  -0.265  0.010  0.060  0.070  0.050  0.010
InAs  6.05  -0.230  0.000  0.050  0.080  0.050  0.030
InSb  6.48  -0.200  0.000  0.033  0.060  0.050  0.010
ZnS   5.41  -0.220  0.030  0.070  0.240  0.140  0.040
ZnSe  5.65  -0.230  0.010  0.060  0.180  0.120  0.030
ZnTe  6.07  -0.220  0.000  0.050  0.130  0.100  0.010
CdTe  6.41  -0.200  0.000  0.040  0.150  0.090  0.040

a in Angstrom, VG^2S & VG^2A in Rydberg, G^2 in 2*pi/a

for elemental compounds, antisymmetric form factors = 0
for binary compounds, antisymmetric form factors /= 0

Cohen & Bergstresser, Phys. Rev. 141, 789 (1966)
http://www.research.ibm.com/DAMOCLES/html_files/numerics.html
